epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,371.843,0.5958,0.68239,1.09944,0.72884,0.47252,0.46993,0.35936,0.86229,1.22523,1.33331,0.000679204,0.000679204,0.000679204
55,378.037,0.58464,0.65902,1.08256,0.68733,0.46298,0.44046,0.34415,0.79712,1.28694,1.26263,0.000665057,0.000665057,0.000665057
56,385.316,0.56754,0.64391,1.06892,0.72761,0.47236,0.47328,0.37876,0.78138,1.14787,1.22167,0.000650909,0.000650909,0.000650909
57,391.487,0.51012,0.5757,1.04394,0.76613,0.47838,0.49794,0.40569,0.75622,1.09836,1.20843,0.000636762,0.000636762,0.000636762
58,398.716,0.60401,0.6588,1.08813,0.71933,0.4949,0.49042,0.38828,0.77791,1.13472,1.23682,0.000622615,0.000622615,0.000622615
59,404.811,0.62239,0.61898,1.07568,0.77293,0.45516,0.47653,0.3741,0.79104,1.15963,1.25572,0.000608468,0.000608468,0.000608468
60,412.237,0.64884,0.67299,1.09975,0.76414,0.47167,0.47757,0.38442,0.74787,1.12566,1.21667,0.000594321,0.000594321,0.000594321
61,418.561,0.53876,0.59096,1.05793,0.78352,0.47709,0.4806,0.38496,0.76819,1.16102,1.24329,0.000580174,0.000580174,0.000580174
62,425.674,0.60511,0.62602,1.0633,0.76139,0.4724,0.48447,0.38864,0.78366,1.17767,1.2519,0.000566027,0.000566027,0.000566027
63,431.788,0.55067,0.59759,1.06323,0.75202,0.4774,0.47786,0.38703,0.76191,1.12081,1.2211,0.00055188,0.00055188,0.00055188
64,439.018,0.56504,0.61868,1.06017,0.67759,0.48311,0.45973,0.36818,0.75642,1.17016,1.2143,0.000537733,0.000537733,0.000537733
65,445.25,0.55032,0.59602,1.06809,0.7335,0.46736,0.45758,0.36913,0.72615,1.13878,1.17869,0.000523586,0.000523586,0.000523586
66,452.487,0.56916,0.62215,1.06568,0.79261,0.45459,0.48591,0.39442,0.74257,1.07795,1.18839,0.000509438,0.000509438,0.000509438
67,458.537,0.5009,0.58469,1.04501,0.76668,0.47591,0.47053,0.38103,0.73674,1.07681,1.19406,0.000495291,0.000495291,0.000495291
68,465.899,0.60461,0.63567,1.07197,0.71712,0.49116,0.47588,0.38617,0.72751,1.07297,1.18479,0.000481144,0.000481144,0.000481144
69,472.029,0.55286,0.59375,1.05506,0.70932,0.47929,0.46446,0.37074,0.72779,1.10781,1.1893,0.000466997,0.000466997,0.000466997
70,479.582,0.57148,0.61816,1.06058,0.71722,0.4875,0.45648,0.37049,0.70096,1.14533,1.16168,0.00045285,0.00045285,0.00045285
71,485.829,0.51347,0.55279,1.0221,0.73838,0.48976,0.48287,0.39714,0.68024,1.08362,1.13416,0.000438703,0.000438703,0.000438703
72,492.907,0.59642,0.61029,1.06706,0.69318,0.51494,0.47786,0.38495,0.72008,1.111,1.18194,0.000424556,0.000424556,0.000424556
73,499.047,0.55664,0.58526,1.04351,0.75352,0.47669,0.47529,0.3815,0.73183,1.1265,1.18256,0.000410409,0.000410409,0.000410409
74,506.286,0.56547,0.5762,1.03401,0.79006,0.46498,0.48268,0.39421,0.71197,1.09889,1.16471,0.000396262,0.000396262,0.000396262
75,512.611,0.54503,0.56169,1.03566,0.77397,0.47024,0.48964,0.39388,0.74044,1.1114,1.18865,0.000382115,0.000382115,0.000382115
