epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,736.056,0.49528,0.54668,1.0411,0.8199,0.59923,0.6616,0.56318,0.66108,0.90582,1.10921,0.000424556,0.000424556,0.000424556
73,746.423,0.48829,0.5319,1.03083,0.77558,0.61465,0.66776,0.57428,0.59453,0.82621,1.03411,0.000410409,0.000410409,0.000410409
74,756.053,0.45775,0.48742,1.01997,0.83569,0.59745,0.64313,0.55775,0.57393,0.88924,1.00532,0.000396262,0.000396262,0.000396262
75,766.054,0.44278,0.49443,1.00393,0.86809,0.56089,0.6342,0.54098,0.64626,0.95703,1.06701,0.000382115,0.000382115,0.000382115
76,776.76,0.4725,0.50536,1.02941,0.84412,0.57575,0.62465,0.53578,0.63174,0.92842,1.05408,0.000367967,0.000367967,0.000367967
77,787.591,0.4609,0.48448,1.01511,0.8328,0.56762,0.64122,0.55101,0.62379,0.89527,1.0601,0.00035382,0.00035382,0.00035382
78,797.434,0.4629,0.49906,1.01146,0.85717,0.56926,0.63454,0.55638,0.63827,0.87025,1.06796,0.000339673,0.000339673,0.000339673
79,807.294,0.43937,0.46129,0.99818,0.85825,0.58078,0.66423,0.57145,0.61359,0.85178,1.05371,0.000325526,0.000325526,0.000325526
80,817.39,0.41191,0.46902,1.00593,0.86697,0.55588,0.63678,0.5395,0.63465,0.93492,1.06735,0.000311379,0.000311379,0.000311379
81,828.128,0.49511,0.51891,1.03053,0.89848,0.54558,0.63619,0.53886,0.61737,0.88001,1.05952,0.000297232,0.000297232,0.000297232
82,839.261,0.45687,0.49125,1.01464,0.8338,0.57587,0.64383,0.55033,0.60318,0.83741,1.03156,0.000283085,0.000283085,0.000283085
83,848.835,0.44173,0.45693,1.00581,0.82957,0.58733,0.64592,0.55726,0.59411,0.82711,1.01622,0.000268938,0.000268938,0.000268938
84,859.136,0.42339,0.46997,1.00055,0.80671,0.57825,0.65322,0.56116,0.57996,0.85812,1.00677,0.000254791,0.000254791,0.000254791
85,869.359,0.43326,0.43652,1.00649,0.88903,0.55252,0.66213,0.5695,0.60496,0.84707,1.03243,0.000240644,0.000240644,0.000240644
86,879.929,0.45111,0.45096,1.00865,0.86701,0.52563,0.63454,0.55174,0.58781,0.94617,1.03039,0.000226497,0.000226497,0.000226497
87,889.993,0.41908,0.4519,0.99923,0.77739,0.56245,0.61998,0.54725,0.58313,0.9741,1.01807,0.000212349,0.000212349,0.000212349
88,900.038,0.43957,0.44494,0.99738,0.77361,0.5995,0.65471,0.56483,0.56884,0.86471,1.00237,0.000198202,0.000198202,0.000198202
89,910.166,0.45408,0.46289,1.00565,0.81019,0.57049,0.64326,0.55139,0.58798,0.88253,1.01836,0.000184055,0.000184055,0.000184055
90,920.244,0.3975,0.41757,0.99583,0.80602,0.59751,0.66187,0.5617,0.6037,0.82583,1.03998,0.000169908,0.000169908,0.000169908
91,932.697,0.37568,0.43758,0.9609,0.7582,0.6083,0.65167,0.55895,0.60524,0.83736,1.04167,0.000155761,0.000155761,0.000155761
92,942.081,0.35721,0.40986,0.99229,0.85691,0.56138,0.65529,0.56712,0.58218,0.87371,1.00817,0.000141614,0.000141614,0.000141614
93,951.826,0.34141,0.37848,0.96313,0.84664,0.59344,0.67685,0.57718,0.5993,0.8232,1.01415,0.000127467,0.000127467,0.000127467
94,961.793,0.32676,0.36638,0.95461,0.84433,0.59229,0.67888,0.57883,0.59011,0.82158,1.0182,0.00011332,0.00011332,0.00011332
95,971.921,0.33712,0.36023,0.94586,0.7914,0.57989,0.66271,0.56935,0.584,0.86355,1.01673,9.91726e-05,9.91726e-05,9.91726e-05
96,980.986,0.3367,0.36228,0.94575,0.89845,0.55198,0.66556,0.57676,0.5761,0.85476,1.00887,8.50255e-05,8.50255e-05,8.50255e-05
97,990.814,0.33727,0.36584,0.95802,0.88887,0.5584,0.65597,0.56912,0.57161,0.87049,1.007,7.08784e-05,7.08784e-05,7.08784e-05
98,1000.77,0.31559,0.33547,0.9399,0.86867,0.5526,0.64539,0.56665,0.5463,0.89138,0.98174,5.67313e-05,5.67313e-05,5.67313e-05
99,1010.37,0.30398,0.32341,0.93496,0.84088,0.55591,0.65198,0.57156,0.54092,0.88304,0.97475,4.25842e-05,4.25842e-05,4.25842e-05
100,1019.46,0.34325,0.32622,0.93486,0.83301,0.55514,0.64456,0.56661,0.53963,0.90395,0.97321,2.84371e-05,2.84371e-05,2.84371e-05
